nombre,categoria,cocina,comuna,barrio,lat,long,geometry
BUENA SUERTE,RESTAURANTE,INTERNACIONAL,Comuna 1,San Nicolas,-34.6091006085199,-58.3903900409146,POINT (-58.3903900409146 -34.6091006085199)
BUEN GUSTO,RESTAURANTE,MINUTAS,Comuna 2,Recoleta,-34.589161738365,-58.394960888109,POINT (-58.394960888109 -34.589161738365)
BUENOS AIRES NEWS,RESTAURANTE,PIZZERIA,Comuna 14,Palermo,-34.5715333723722,-58.4228097663659,POINT (-58.4228097663659 -34.5715333723722)
BUENOS MUCHACHOS,RESTAURANTE,PARRILLA,Comuna 3,Balvanera,-34.598737073361,-58.4033773753816,POINT (-58.4033773753816 -34.598737073361)
BUHO,RESTAURANTE,MINUTAS,Comuna 13,Belgrano,-34.5513042950584,-58.4540991027853,POINT (-58.4540991027853 -34.5513042950584)
BULLEN,PUB,PIZZERIA,Comuna 2,Recoleta,-34.5883472140627,-58.3914299948156,POINT (-58.3914299948156 -34.5883472140627)
BUNGALO,RESTAURANTE,MINUTAS,Comuna 3,Balvanera,-34.6096536362392,-58.3977287720133,POINT (-58.3977287720133 -34.6096536362392)
BURGER KING,RESTAURANTE,FAST FOOD,Comuna 3,Balvanera,-34.5996520681195,-58.4003763326014,POINT (-58.4003763326014 -34.5996520681195)
BURGUER KING,PUB,AMERICANA,Comuna 2,Recoleta,-34.5940996304745,-58.4032808526881,POINT (-58.4032808526881 -34.5940996304745)
BURZAKO,RESTAURANTE,ESPAA'OLA,Comuna 1,Monserrat,-34.6147669525393,-58.3712301203535,POINT (-58.3712301203535 -34.6147669525393)
"BA,A SICO",RESTAURANTE,MINUTAS,Comuna 15,Chacarita,-34.5867268742875,-58.452069558313,POINT (-58.452069558313 -34.5867268742875)
